District,MAPE,RMSE
JALPAIGURI,0.09819549114739283,124330.86864847697
DUNGARPUR,0.1593932070953015,45353.06150178663
CHANDRAPUR,0.23318070588573261,162970.86268887544
EAST KAMENG,0.07866533803714094,1170.0698394276558
SHEOPUR,0.25242749277208043,23444.096792804245
UNA,0.04002889363690004,4930.609437706759
BAREILLY,0.18779991708343316,160986.0543224948
DHARMAPURI,0.1236830107082344,52690.88115467004
UKHRUL,0.2048871845477966,5155.65764886563
COIMBATORE,0.12677988486808114,291588.79285013984
MYSORE,0.12503529971704214,132291.3516313536
REWA,0.39848777809828495,190695.94904179644
NAMAKKAL,0.3009428491310197,260583.94961632075
LALITPUR,0.024477993042130566,2508.925072305643
VIDISHA,0.42030461209766184,119851.76671677172
TONK,0.5609234440824055,285335.8705507585
TAMENGLONG,0.703869764923469,35187.89411242229
RATNAGIRI,0.4402690295041623,300085.84351187653
RAJKOT,0.42966759144712596,1322169.2639610989
NANDURBAR,0.09975607730286196,20964.62917626123
SIKAR,0.14815396658472882,88823.87847081352
KOLHAPUR,0.3109679877970036,604990.4266500957
CHAMPAWAT,0.1235739194117947,6762.017024386909
RAJSAMAND,0.023490345622818844,3973.652366046354
ETAH,0.09681063120644275,21637.279013874573
THOUBAL,0.1331936595604399,7145.419921907336
KARIMNAGAR,0.1259617900382465,184121.7253481058
UNNAO,0.43124768091014,179228.50489268932
WARDHA,0.2962267147152376,113675.23011427688
ALLAHABAD,0.11117635774090129,166070.77615480035
TEHRI GARHWAL,0.22392811256575948,33749.65508156945
NANDED,0.2748758321185721,244392.05299608145
KORIYA,0.016258786370801092,1565.1807662681663
GHAZIPUR,0.40715589042671557,242808.59084575664
NARSIMHAPUR,0.10817721314702679,16569.642270261775
CACHAR,0.8318170527060351,446397.34493968333
GIRIDIH,0.2273890601804891,83370.33496073763
MUZAFFARNAGAR,0.16923247282240728,212385.38635336928
KULLU,0.21987965522246525,40147.07436164939
KAUSHAMBI,0.14466811248503247,33370.20489239791
