NAME_2,Sum_of_Lights_1998
Nicobar Islands,647.0
North and Middle Andaman,1059.0
South Andaman,3381.0
Anantapur,93342.0
Chittoor,97608.0
East Godavari,59854.0
Guntur,73380.0
Krishna,66335.0
Kurnool,72254.0
Nellore,70050.0
Prakasam,62080.0
Srikakulam,32045.0
Visakhapatnam,41578.0
Vizianagaram,24956.0
West Godavari,45269.0
Y.S.R.,54696.0
Anjaw,0.0
Anjaw,0.0
Changlang,3411.0
Dibang Valley,0.0
East Kameng,0.0
East Siang,88.0
East Siang,140.0
Kurung Kumey,0.0
Lohit,145.0
Lohit,0.0
Longding,0.0
Lower Dibang Valley,0.0
Lower Dibang Valley,0.0
Lower Subansiri,322.0
Namsai,792.0
Papum Pare,1411.0
Tawang,121.0
Tirap,102.0
Upper Siang,0.0
Upper Subansiri,0.0
West Kameng,475.0
West Siang,82.0
Baksa,880.0
Barpeta,3148.0
Bongaigaon,2551.0
Cachar,8694.0
Chirang,2895.0
Darrang,2949.0
Dhemaji,156.0
Dhubri,2319.0
Dibrugarh,40195.0
Dima Hasao,1747.0
Goalpara,3968.0
Golaghat,11048.0
Hailakandi,2896.0
Jorhat,7129.0
Kamrup,10181.0
Kamrup Metropolitan,10944.0
Karbi Anglong,4234.0
Karimganj,4563.0
Kokrajhar,4163.0
Lakhimpur,1046.0
Morigaon,3105.0
Nagaon,10812.0
Nalbari,2177.0
Sivasagar,19681.0
Sonitpur,7551.0
Tinsukia,18606.0
Udalguri,3875.0
Araria,1793.0
Arwal,106.0
Aurangabad,2937.0
Banka,1037.0
Begusarai,7593.0
Bhagalpur,8948.0
Bhojpur,1990.0
Buxar,2481.0
Darbhanga,4434.0
Gaya,6130.0
Gopalganj,5097.0
Jamui,880.0
Jehanabad,857.0
Kaimur,4682.0
Katihar,3375.0
Khagaria,1538.0
Kishanganj,1347.0
Lakhisarai,1138.0
Madhepura,1507.0
Madhubani,3765.0
Munger,3048.0
Muzaffarpur,9895.0
Nalanda,5461.0
Nawada,2543.0
Pashchim Champaran,2630.0
Patna,18446.0
Purba Champaran,4624.0
Purnia,5364.0
Rohtas,7309.0
Saharsa,1974.0
Samastipur,4936.0
Saran,4769.0
Sheikhpura,1114.0
Sheohar,366.0
Sitamarhi,2024.0
Siwan,3178.0
Supaul,2313.0
Vaishali,7071.0
Chandigarh,8901.0
Balod,8268.0
Baloda Bazar,14932.0
Balrampur,483.0
Bastar,2859.0
Bemetara,10181.0
Bijapur,179.0
Bilaspur,18375.0
Dantewada,2882.0
Dhamtari,8916.0
Durg,30238.0
Gariaband,1256.0
Janjgir-Champa,15106.0
Jashpur,1632.0
Kabeerdham,4767.0
Kondagaon,836.0
Korba,17712.0
Koriya,6972.0
Mahasamund,5954.0
Mungeli,4474.0
Narayanpur,261.0
Raigarh,12902.0
Raipur,29718.0
Rajnandgaon,14874.0
Sukma,297.0
Surajpur,5863.0
Surguja,2996.0
Uttar Bastar Kanker,2580.0
Dadra and Nagar Haveli,4654.0
Daman,2488.0
Diu,529.0
North Goa,19176.0
South Goa,14588.0
Ahmadabad,68720.0
Amreli,51139.0
Anand,27789.0
Aravalli,16061.0
Banas Kantha,50848.0
Bharuch,78251.0
Bhavnagar,52356.0
Botad,13065.0
Chhota Udaipur,11543.0
Dahod,8982.0
Devbhumi Dwarka,25396.0
Gandhinagar,31960.0
Gir Somnath,24356.0
Jamnagar,49432.0
Junagadh,62802.0
Kachchh,62573.0
Kheda,30914.0
Mahesana,51390.0
Mahisagar,6380.0
Morbi,35146.0
Narmada,7451.0
Navsari,18577.0
Panch Mahals,15721.0
Patan,24995.0
Porbandar,20610.0
Rajkot,72538.0
Sabar Kantha,24520.0
Surat,68576.0
Surendranagar,47323.0
Tapi,13768.0
The Dangs,931.0
Vadodara,50714.0
Valsad,23888.0
Ambala,30170.0
Bhiwani,43283.0
Faridabad,26543.0
Fatehabad,30817.0
Gurgaon,29708.0
Hisar,43870.0
Jhajjar,21697.0
Jind,29666.0
Kaithal,28644.0
Karnal,43062.0
Kurukshetra,32195.0
Mahendragarh,20177.0
Mewat,10953.0
Palwal,11551.0
Panchkula,10410.0
Panipat,24136.0
Rewari,18052.0
Rohtak,19391.0
Sirsa,40896.0
Sonipat,28814.0
Yamunanagar,19090.0
Bilaspur,7627.0
Chamba,2351.0
Hamirpur,5950.0
Kangra,17170.0
Kinnaur,1119.0
Kinnaur,0.0
Kinnaur,0.0
Kullu,2587.0
Lahul & Spiti,0.0
Lahul & Spiti,0.0
Mandi,6902.0
Shimla,6642.0
Sirmaur,5279.0
Solan,13691.0
Una,8381.0
Anantnag,246.0
Badgam,1599.0
Bandipore,147.0
Baramulla,2503.0
Doda,1102.0
Ganderbal,311.0
Jammu,30263.0
Kargil,106.0
Kathua,10783.0
Kishtwar,1919.0
Kulgam,36.0
Kupwara,1191.0
Leh (Ladakh),694.0
Poonch,604.0
Pulwama,1054.0
Rajouri,2528.0
Ramban,626.0
Reasi,3277.0
Samba,8471.0
Shupiyan,0.0
