,NAME_2,Sum_of_Lights_1998
0,Nicobar Islands,647.0
1,North and Middle Andaman,1059.0
2,South Andaman,3381.0
3,Anantapur,93342.0
4,Chittoor,97608.0
5,East Godavari,59854.0
6,Guntur,73380.0
7,Krishna,66335.0
8,Kurnool,72254.0
9,Nellore,70050.0
10,Prakasam,62080.0
11,Srikakulam,32045.0
12,Visakhapatnam,41578.0
13,Vizianagaram,24956.0
14,West Godavari,45269.0
15,Y.S.R.,54696.0
16,Anjaw,0.0
17,Anjaw,0.0
18,Changlang,3411.0
19,Dibang Valley,0.0
20,East Kameng,0.0
21,East Siang,88.0
22,East Siang,140.0
23,Kurung Kumey,0.0
24,Lohit,145.0
25,Lohit,0.0
26,Longding,0.0
27,Lower Dibang Valley,0.0
28,Lower Dibang Valley,0.0
29,Lower Subansiri,322.0
30,Namsai,792.0
31,Papum Pare,1411.0
32,Tawang,121.0
33,Tirap,102.0
34,Upper Siang,0.0
35,Upper Subansiri,0.0
36,West Kameng,475.0
37,West Siang,82.0
38,Baksa,880.0
39,Barpeta,3148.0
40,Bongaigaon,2551.0
41,Cachar,8694.0
42,Chirang,2895.0
43,Darrang,2949.0
44,Dhemaji,156.0
45,Dhubri,2319.0
46,Dibrugarh,40195.0
47,Dima Hasao,1747.0
48,Goalpara,3968.0
49,Golaghat,11048.0
50,Hailakandi,2896.0
51,Jorhat,7129.0
52,Kamrup,10181.0
53,Kamrup Metropolitan,10944.0
54,Karbi Anglong,4234.0
55,Karimganj,4563.0
56,Kokrajhar,4163.0
57,Lakhimpur,1046.0
58,Morigaon,3105.0
59,Nagaon,10812.0
60,Nalbari,2177.0
61,Sivasagar,19681.0
62,Sonitpur,7551.0
63,Tinsukia,18606.0
64,Udalguri,3875.0
65,Araria,1793.0
66,Arwal,106.0
67,Aurangabad,2937.0
68,Banka,1037.0
69,Begusarai,7593.0
70,Bhagalpur,8948.0
71,Bhojpur,1990.0
72,Buxar,2481.0
73,Darbhanga,4434.0
74,Gaya,6130.0
75,Gopalganj,5097.0
76,Jamui,880.0
77,Jehanabad,857.0
78,Kaimur,4682.0
79,Katihar,3375.0
80,Khagaria,1538.0
81,Kishanganj,1347.0
82,Lakhisarai,1138.0
83,Madhepura,1507.0
84,Madhubani,3765.0
85,Munger,3048.0
86,Muzaffarpur,9895.0
87,Nalanda,5461.0
88,Nawada,2543.0
89,Pashchim Champaran,2630.0
90,Patna,18446.0
91,Purba Champaran,4624.0
92,Purnia,5364.0
93,Rohtas,7309.0
94,Saharsa,1974.0
95,Samastipur,4936.0
96,Saran,4769.0
97,Sheikhpura,1114.0
98,Sheohar,366.0
99,Sitamarhi,2024.0
100,Siwan,3178.0
101,Supaul,2313.0
102,Vaishali,7071.0
103,Chandigarh,8901.0
104,Balod,8268.0
105,Baloda Bazar,14932.0
106,Balrampur,483.0
107,Bastar,2859.0
108,Bemetara,10181.0
109,Bijapur,179.0
110,Bilaspur,18375.0
111,Dantewada,2882.0
112,Dhamtari,8916.0
113,Durg,30238.0
114,Gariaband,1256.0
115,Janjgir-Champa,15106.0
116,Jashpur,1632.0
117,Kabeerdham,4767.0
118,Kondagaon,836.0
119,Korba,17712.0
120,Koriya,6972.0
121,Mahasamund,5954.0
122,Mungeli,4474.0
123,Narayanpur,261.0
124,Raigarh,12902.0
125,Raipur,29718.0
126,Rajnandgaon,14874.0
127,Sukma,297.0
128,Surajpur,5863.0
129,Surguja,2996.0
130,Uttar Bastar Kanker,2580.0
131,Dadra and Nagar Haveli,4654.0
132,Daman,2488.0
133,Diu,529.0
134,North Goa,19176.0
135,South Goa,14588.0
136,Ahmadabad,68720.0
137,Amreli,51139.0
138,Anand,27789.0
139,Aravalli,16061.0
140,Banas Kantha,50848.0
141,Bharuch,78251.0
142,Bhavnagar,52356.0
143,Botad,13065.0
144,Chhota Udaipur,11543.0
145,Dahod,8982.0
146,Devbhumi Dwarka,25396.0
147,Gandhinagar,31960.0
148,Gir Somnath,24356.0
149,Jamnagar,49432.0
150,Junagadh,62802.0
151,Kachchh,62573.0
152,Kheda,30914.0
153,Mahesana,51390.0
154,Mahisagar,6380.0
155,Morbi,35146.0
156,Narmada,7451.0
157,Navsari,18577.0
158,Panch Mahals,15721.0
159,Patan,24995.0
160,Porbandar,20610.0
161,Rajkot,72538.0
162,Sabar Kantha,24520.0
163,Surat,68576.0
164,Surendranagar,47323.0
165,Tapi,13768.0
166,The Dangs,931.0
167,Vadodara,50714.0
168,Valsad,23888.0
169,Ambala,30170.0
170,Bhiwani,43283.0
171,Faridabad,26543.0
172,Fatehabad,30817.0
173,Gurgaon,29708.0
174,Hisar,43870.0
175,Jhajjar,21697.0
176,Jind,29666.0
177,Kaithal,28644.0
178,Karnal,43062.0
179,Kurukshetra,32195.0
180,Mahendragarh,20177.0
181,Mewat,10953.0
182,Palwal,11551.0
183,Panchkula,10410.0
184,Panipat,24136.0
185,Rewari,18052.0
186,Rohtak,19391.0
187,Sirsa,40896.0
188,Sonipat,28814.0
189,Yamunanagar,19090.0
190,Bilaspur,7627.0
191,Chamba,2351.0
192,Hamirpur,5950.0
193,Kangra,17170.0
194,Kinnaur,1119.0
195,Kinnaur,0.0
