Col_A_Block_1,Col_B_Block_1,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Nicobar Islands,220.0,420.0,464.0,680.0,605.0,553.0,647.0,601.0,669.0,765.0,823.0,657.0,765.0,360.0,302.0,589.0,401.0,602.0,911.0,586.0,883.0,694.0,2976.0,2886.0,2083.0,3635.0,2965.0,3027.0,1813.0,1941.0,1829.0
1,North and Middle Andaman,446.0,1006.0,841.0,975.0,995.0,566.0,1059.0,1225.0,1608.0,1608.0,1722.0,1210.0,2708.0,1815.0,1136.0,2274.0,1586.0,1554.0,2286.0,2135.0,2093.0,1620.0,5944.0,8289.0,6810.0,12337.0,14006.0,11524.0,7968.0,7133.0,8124.0
2,South Andaman,1637.0,2537.0,2512.0,3657.0,3517.0,2699.0,3381.0,2998.0,3492.0,3510.0,4027.0,3782.0,4532.0,4066.0,3827.0,4853.0,4499.0,5350.0,5453.0,4918.0,5025.0,5099.0,7769.0,7931.0,7053.0,8809.0,9587.0,9390.0,7739.0,8354.0,8208.0
3,Anantapur,27229.0,53475.0,47946.0,72158.0,74760.0,77474.0,93342.0,102308.0,99484.0,99844.0,112336.0,96854.0,115760.0,109312.0,101095.0,126195.0,117838.0,139519.0,138549.0,134939.0,151720.0,132777.0,167549.0,171366.0,163666.0,180271.0,189118.0,200801.0,195409.0,203452.0,211152.0
4,Chittoor,47807.0,70186.0,60455.0,88114.0,83701.0,79190.0,97608.0,106205.0,96921.0,102778.0,103415.0,102785.0,118754.0,101683.0,96829.0,120034.0,116679.0,131823.0,133553.0,132491.0,153549.0,142092.0,153143.0,158948.0,146014.0,167317.0,176316.0,196402.0,193414.0,196893.0,209788.0
5,East Godavari,37648.0,44406.0,43574.0,66464.0,51462.0,56469.0,59854.0,64469.0,65813.0,67534.0,79305.0,72596.0,85640.0,77490.0,74224.0,85592.0,83718.0,98004.0,89297.0,91892.0,99658.0,94517.0,106991.0,126663.0,112356.0,129293.0,144408.0,151234.0,139602.0,143201.0,151409.0
6,Guntur,44604.0,56540.0,50912.0,63006.0,67967.0,61457.0,73380.0,77004.0,77180.0,83099.0,91962.0,93414.0,109207.0,98504.0,91232.0,112769.0,106639.0,121550.0,120356.0,120088.0,133919.0,132420.0,125363.0,130796.0,131059.0,147633.0,158056.0,167068.0,165488.0,169022.0,178363.0
7,Krishna,44539.0,53145.0,49717.0,60628.0,60229.0,62024.0,66335.0,68860.0,73344.0,74780.0,82191.0,82107.0,95144.0,84804.0,77299.0,95304.0,91962.0,106328.0,102525.0,104014.0,111309.0,113234.0,97497.0,100699.0,97784.0,112295.0,118157.0,133257.0,135470.0,139512.0,150708.0
8,Kurnool,18033.0,43346.0,43666.0,54708.0,65508.0,59618.0,72254.0,86216.0,77296.0,80543.0,86337.0,71341.0,92182.0,77757.0,69258.0,92796.0,88254.0,99544.0,101464.0,102541.0,106844.0,100807.0,152586.0,159666.0,143004.0,165353.0,169874.0,177160.0,169503.0,181539.0,188664.0
9,Nellore,34900.0,53808.0,48005.0,66192.0,65146.0,56488.0,70050.0,74213.0,72562.0,76676.0,82045.0,77173.0,93447.0,86008.0,78353.0,95496.0,89227.0,105007.0,103917.0,100148.0,115764.0,113125.0,132601.0,138118.0,132343.0,145419.0,152758.0,163011.0,154140.0,160990.0,165231.0
10,Prakasam,23858.0,44304.0,43803.0,46645.0,59168.0,42744.0,62080.0,64193.0,64230.0,69858.0,82233.0,59511.0,90417.0,80571.0,74589.0,97707.0,87469.0,99161.0,100932.0,95976.0,104642.0,112385.0,156524.0,161919.0,146889.0,169036.0,177198.0,186444.0,181414.0,192475.0,193444.0
11,Srikakulam,19621.0,22295.0,25189.0,30608.0,32723.0,28706.0,32045.0,31712.0,35312.0,32955.0,38412.0,35392.0,43629.0,31296.0,33900.0,38463.0,39479.0,44292.0,38726.0,41114.0,48884.0,41975.0,55379.0,60670.0,53928.0,64044.0,64290.0,71874.0,72405.0,75285.0,83282.0
12,Visakhapatnam,29763.0,34678.0,36512.0,41157.0,39595.0,37963.0,41578.0,43243.0,47581.0,47652.0,54556.0,48541.0,57954.0,52839.0,56543.0,62152.0,63538.0,82142.0,71347.0,72438.0,86590.0,83469.0,100461.0,122502.0,109754.0,139604.0,145892.0,145707.0,126685.0,136675.0,143830.0
13,Vizianagaram,16790.0,19432.0,20435.0,22845.0,24957.0,21910.0,24956.0,25584.0,27949.0,25114.0,28078.0,28330.0,31250.0,26373.0,26478.0,30704.0,28820.0,38819.0,30557.0,32816.0,39602.0,35338.0,43952.0,50525.0,43448.0,57570.0,59176.0,59892.0,52842.0,56884.0,62922.0
14,West Godavari,27475.0,35409.0,35103.0,47478.0,43697.0,46445.0,45269.0,50393.0,52885.0,52337.0,62433.0,63721.0,70902.0,63752.0,58717.0,70621.0,69459.0,80494.0,73149.0,77441.0,84223.0,79351.0,72369.0,79196.0,73064.0,85482.0,92530.0,105471.0,101702.0,107322.0,118143.0
15,Y.S.R.,20044.0,42795.0,32551.0,44420.0,40506.0,42964.0,54696.0,61641.0,57169.0,67275.0,66203.0,56101.0,81436.0,71686.0,70972.0,81695.0,85730.0,94522.0,98881.0,93157.0,98937.0,90811.0,128567.0,128555.0,119439.0,139708.0,142590.0,155631.0,147041.0,163384.0,159201.0
16,Anjaw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,690.0,1233.0,852.0,1842.0,1211.0,2240.0,2016.0,1869.0,2212.0
17,Anjaw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,56.0,21.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,3045.0,4011.0,1836.0,5555.0,8818.0,2842.0,1778.0,4318.0,3234.0
18,Changlang,3161.0,2916.0,1487.0,1528.0,2407.0,2037.0,3411.0,3438.0,2522.0,2406.0,2367.0,2438.0,3451.0,2858.0,2592.0,3359.0,2511.0,3315.0,4245.0,4938.0,4100.0,4566.0,13490.0,13813.0,10830.0,17119.0,15098.0,18040.0,15889.0,17798.0,18559.0
19,Dibang Valley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,2522.0,2371.0,2820.0,20188.0,29976.0,5078.0,1001.0,2938.0,4616.0
20,East Kameng,0.0,0.0,0.0,0.0,44.0,4.0,0.0,100.0,55.0,0.0,36.0,0.0,0.0,12.0,4.0,29.0,55.0,63.0,114.0,122.0,120.0,109.0,5620.0,6745.0,4465.0,8706.0,7172.0,7610.0,4280.0,6583.0,7258.0
21,East Siang,0.0,16.0,28.0,60.0,82.0,70.0,88.0,70.0,42.0,42.0,99.0,49.0,130.0,65.0,105.0,142.0,305.0,208.0,242.0,343.0,236.0,274.0,6532.0,5849.0,4515.0,6569.0,7122.0,7600.0,4550.0,7320.0,6975.0
22,East Siang,0.0,0.0,36.0,40.0,73.0,90.0,140.0,311.0,95.0,72.0,198.0,81.0,163.0,144.0,69.0,198.0,159.0,90.0,163.0,84.0,152.0,157.0,4159.0,5604.0,4362.0,8035.0,7771.0,7716.0,5370.0,4935.0,5752.0
23,Kurung Kumey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2328.0,3098.0,2321.0,13311.0,20143.0,4578.0,2149.0,2079.0,3059.0
24,Lohit,134.0,67.0,0.0,24.0,111.0,126.0,145.0,194.0,226.0,314.0,219.0,560.0,358.0,218.0,233.0,363.0,339.0,359.0,334.0,555.0,466.0,644.0,7072.0,7915.0,3880.0,9927.0,9924.0,9981.0,8500.0,9734.0,11928.0
25,Lohit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.0,0.0,0.0,0.0,0.0
26,Longding,0.0,4.0,34.0,44.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,16.0,0.0,0.0,2060.0,3446.0,1464.0,5083.0,4521.0,5424.0,2294.0,3494.0,4117.0
27,Lower Dibang Valley,0.0,0.0,0.0,0.0,0.0,22.0,0.0,70.0,58.0,65.0,86.0,251.0,182.0,81.0,68.0,77.0,99.0,152.0,127.0,115.0,25.0,90.0,3196.0,3872.0,3408.0,6292.0,4649.0,4702.0,3374.0,4795.0,5145.0
28,Lower Dibang Valley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,835.0,389.0,270.0,1498.0,3647.0,1204.0,574.0,1295.0,2564.0
29,Lower Subansiri,36.0,16.0,103.0,204.0,310.0,255.0,322.0,662.0,358.0,206.0,96.0,144.0,553.0,735.0,751.0,854.0,705.0,807.0,1063.0,878.0,960.0,691.0,8937.0,10626.0,8316.0,14336.0,13661.0,12902.0,8569.0,9536.0,12395.0
30,Namsai,760.0,601.0,451.0,468.0,716.0,573.0,792.0,607.0,936.0,974.0,619.0,740.0,913.0,1009.0,826.0,911.0,646.0,458.0,676.0,536.0,979.0,1027.0,3480.0,3667.0,3077.0,4250.0,4201.0,4869.0,5161.0,5728.0,5955.0
