Col_A_Block_1,Col_B_Block_1,Col_C_Block_1,Col_A_Block_2,Col_B_Block_2,Col_C_Block_2,Col_A_Block_3,Col_B_Block_3,Col_C_Block_3,Col_A_Block_4,Col_B_Block_4,Col_C_Block_4,Col_A_Block_5,Col_B_Block_5,Col_C_Block_5,Col_A_Block_6,Col_B_Block_6,Col_C_Block_6,Col_A_Block_7,Col_B_Block_7,Col_C_Block_7,Col_A_Block_8,Col_B_Block_8,Col_C_Block_8,Col_A_Block_9,Col_B_Block_9,Col_C_Block_9,Col_A_Block_10,Col_B_Block_10,Col_C_Block_10,Col_A_Block_11,Col_B_Block_11,Col_C_Block_11,Col_A_Block_12,Col_B_Block_12,Col_C_Block_12,Col_A_Block_13,Col_B_Block_13,Col_C_Block_13,Col_A_Block_14,Col_B_Block_14,Col_C_Block_14,Col_A_Block_15,Col_B_Block_15,Col_C_Block_15,Col_A_Block_16,Col_B_Block_16,Col_C_Block_16,Col_A_Block_17,Col_B_Block_17,Col_C_Block_17,Col_A_Block_18,Col_B_Block_18,Col_C_Block_18,Col_A_Block_19,Col_B_Block_19,Col_C_Block_19,Col_A_Block_20,Col_B_Block_20,Col_C_Block_20,Col_A_Block_21,Col_B_Block_21,Col_C_Block_21,Col_A_Block_22,Col_B_Block_22,Col_C_Block_22,Col_A_Block_23,Col_B_Block_23,Col_C_Block_23,Col_A_Block_24,Col_B_Block_24,Col_C_Block_24,Col_A_Block_25,Col_B_Block_25,Col_C_Block_25,Col_A_Block_26,Col_B_Block_26,Col_C_Block_26,Col_A_Block_27,Col_B_Block_27,Col_C_Block_27,Col_A_Block_28,Col_B_Block_28,Col_C_Block_28,Col_A_Block_29,Col_B_Block_29,Col_C_Block_29,Col_A_Block_30,Col_B_Block_30,Col_C_Block_30,Col_A_Block_31,Col_B_Block_31,Col_C_Block_31
0,Nicobar Islands,220.0,0,Nicobar Islands,420.0,0,Nicobar Islands,464.0,0,Nicobar Islands,680.0,0,Nicobar Islands,605.0,0,Nicobar Islands,553.0,0,Nicobar Islands,647.0,0,Nicobar Islands,601.0,0,Nicobar Islands,669.0,0,Nicobar Islands,765.0,0,Nicobar Islands,823.0,0,Nicobar Islands,657.0,0,Nicobar Islands,765.0,0,Nicobar Islands,360.0,0,Nicobar Islands,302.0,0,Nicobar Islands,589.0,0,Nicobar Islands,401.0,0,Nicobar Islands,602.0,0,Nicobar Islands,911.0,0,Nicobar Islands,586.0,0,Nicobar Islands,883.0,0,Nicobar Islands,694.0,0,Nicobar Islands,2976.0,0,Nicobar Islands,2886.0,0,Nicobar Islands,2083.0,0,Nicobar Islands,3635.0,0,Nicobar Islands,2965.0,0,Nicobar Islands,3027.0,0,Nicobar Islands,1813.0,0,Nicobar Islands,1941.0,0,Nicobar Islands,1829.0
1,North and Middle Andaman,446.0,1,North and Middle Andaman,1006.0,1,North and Middle Andaman,841.0,1,North and Middle Andaman,975.0,1,North and Middle Andaman,995.0,1,North and Middle Andaman,566.0,1,North and Middle Andaman,1059.0,1,North and Middle Andaman,1225.0,1,North and Middle Andaman,1608.0,1,North and Middle Andaman,1608.0,1,North and Middle Andaman,1722.0,1,North and Middle Andaman,1210.0,1,North and Middle Andaman,2708.0,1,North and Middle Andaman,1815.0,1,North and Middle Andaman,1136.0,1,North and Middle Andaman,2274.0,1,North and Middle Andaman,1586.0,1,North and Middle Andaman,1554.0,1,North and Middle Andaman,2286.0,1,North and Middle Andaman,2135.0,1,North and Middle Andaman,2093.0,1,North and Middle Andaman,1620.0,1,North and Middle Andaman,5944.0,1,North and Middle Andaman,8289.0,1,North and Middle Andaman,6810.0,1,North and Middle Andaman,12337.0,1,North and Middle Andaman,14006.0,1,North and Middle Andaman,11524.0,1,North and Middle Andaman,7968.0,1,North and Middle Andaman,7133.0,1,North and Middle Andaman,8124.0
2,South Andaman,1637.0,2,South Andaman,2537.0,2,South Andaman,2512.0,2,South Andaman,3657.0,2,South Andaman,3517.0,2,South Andaman,2699.0,2,South Andaman,3381.0,2,South Andaman,2998.0,2,South Andaman,3492.0,2,South Andaman,3510.0,2,South Andaman,4027.0,2,South Andaman,3782.0,2,South Andaman,4532.0,2,South Andaman,4066.0,2,South Andaman,3827.0,2,South Andaman,4853.0,2,South Andaman,4499.0,2,South Andaman,5350.0,2,South Andaman,5453.0,2,South Andaman,4918.0,2,South Andaman,5025.0,2,South Andaman,5099.0,2,South Andaman,7769.0,2,South Andaman,7931.0,2,South Andaman,7053.0,2,South Andaman,8809.0,2,South Andaman,9587.0,2,South Andaman,9390.0,2,South Andaman,7739.0,2,South Andaman,8354.0,2,South Andaman,8208.0
3,Anantapur,27229.0,3,Anantapur,53475.0,3,Anantapur,47946.0,3,Anantapur,72158.0,3,Anantapur,74760.0,3,Anantapur,77474.0,3,Anantapur,93342.0,3,Anantapur,102308.0,3,Anantapur,99484.0,3,Anantapur,99844.0,3,Anantapur,112336.0,3,Anantapur,96854.0,3,Anantapur,115760.0,3,Anantapur,109312.0,3,Anantapur,101095.0,3,Anantapur,126195.0,3,Anantapur,117838.0,3,Anantapur,139519.0,3,Anantapur,138549.0,3,Anantapur,134939.0,3,Anantapur,151720.0,3,Anantapur,132777.0,3,Anantapur,167549.0,3,Anantapur,171366.0,3,Anantapur,163666.0,3,Anantapur,180271.0,3,Anantapur,189118.0,3,Anantapur,200801.0,3,Anantapur,195409.0,3,Anantapur,203452.0,3,Anantapur,211152.0
4,Chittoor,47807.0,4,Chittoor,70186.0,4,Chittoor,60455.0,4,Chittoor,88114.0,4,Chittoor,83701.0,4,Chittoor,79190.0,4,Chittoor,97608.0,4,Chittoor,106205.0,4,Chittoor,96921.0,4,Chittoor,102778.0,4,Chittoor,103415.0,4,Chittoor,102785.0,4,Chittoor,118754.0,4,Chittoor,101683.0,4,Chittoor,96829.0,4,Chittoor,120034.0,4,Chittoor,116679.0,4,Chittoor,131823.0,4,Chittoor,133553.0,4,Chittoor,132491.0,4,Chittoor,153549.0,4,Chittoor,142092.0,4,Chittoor,153143.0,4,Chittoor,158948.0,4,Chittoor,146014.0,4,Chittoor,167317.0,4,Chittoor,176316.0,4,Chittoor,196402.0,4,Chittoor,193414.0,4,Chittoor,196893.0,4,Chittoor,209788.0
5,East Godavari,37648.0,5,East Godavari,44406.0,5,East Godavari,43574.0,5,East Godavari,66464.0,5,East Godavari,51462.0,5,East Godavari,56469.0,5,East Godavari,59854.0,5,East Godavari,64469.0,5,East Godavari,65813.0,5,East Godavari,67534.0,5,East Godavari,79305.0,5,East Godavari,72596.0,5,East Godavari,85640.0,5,East Godavari,77490.0,5,East Godavari,74224.0,5,East Godavari,85592.0,5,East Godavari,83718.0,5,East Godavari,98004.0,5,East Godavari,89297.0,5,East Godavari,91892.0,5,East Godavari,99658.0,5,East Godavari,94517.0,5,East Godavari,106991.0,5,East Godavari,126663.0,5,East Godavari,112356.0,5,East Godavari,129293.0,5,East Godavari,144408.0,5,East Godavari,151234.0,5,East Godavari,139602.0,5,East Godavari,143201.0,5,East Godavari,151409.0
6,Guntur,44604.0,6,Guntur,56540.0,6,Guntur,50912.0,6,Guntur,63006.0,6,Guntur,67967.0,6,Guntur,61457.0,6,Guntur,73380.0,6,Guntur,77004.0,6,Guntur,77180.0,6,Guntur,83099.0,6,Guntur,91962.0,6,Guntur,93414.0,6,Guntur,109207.0,6,Guntur,98504.0,6,Guntur,91232.0,6,Guntur,112769.0,6,Guntur,106639.0,6,Guntur,121550.0,6,Guntur,120356.0,6,Guntur,120088.0,6,Guntur,133919.0,6,Guntur,132420.0,6,Guntur,125363.0,6,Guntur,130796.0,6,Guntur,131059.0,6,Guntur,147633.0,6,Guntur,158056.0,6,Guntur,167068.0,6,Guntur,165488.0,6,Guntur,169022.0,6,Guntur,178363.0
7,Krishna,44539.0,7,Krishna,53145.0,7,Krishna,49717.0,7,Krishna,60628.0,7,Krishna,60229.0,7,Krishna,62024.0,7,Krishna,66335.0,7,Krishna,68860.0,7,Krishna,73344.0,7,Krishna,74780.0,7,Krishna,82191.0,7,Krishna,82107.0,7,Krishna,95144.0,7,Krishna,84804.0,7,Krishna,77299.0,7,Krishna,95304.0,7,Krishna,91962.0,7,Krishna,106328.0,7,Krishna,102525.0,7,Krishna,104014.0,7,Krishna,111309.0,7,Krishna,113234.0,7,Krishna,97497.0,7,Krishna,100699.0,7,Krishna,97784.0,7,Krishna,112295.0,7,Krishna,118157.0,7,Krishna,133257.0,7,Krishna,135470.0,7,Krishna,139512.0,7,Krishna,150708.0
8,Kurnool,18033.0,8,Kurnool,43346.0,8,Kurnool,43666.0,8,Kurnool,54708.0,8,Kurnool,65508.0,8,Kurnool,59618.0,8,Kurnool,72254.0,8,Kurnool,86216.0,8,Kurnool,77296.0,8,Kurnool,80543.0,8,Kurnool,86337.0,8,Kurnool,71341.0,8,Kurnool,92182.0,8,Kurnool,77757.0,8,Kurnool,69258.0,8,Kurnool,92796.0,8,Kurnool,88254.0,8,Kurnool,99544.0,8,Kurnool,101464.0,8,Kurnool,102541.0,8,Kurnool,106844.0,8,Kurnool,100807.0,8,Kurnool,152586.0,8,Kurnool,159666.0,8,Kurnool,143004.0,8,Kurnool,165353.0,8,Kurnool,169874.0,8,Kurnool,177160.0,8,Kurnool,169503.0,8,Kurnool,181539.0,8,Kurnool,188664.0
9,Nellore,34900.0,9,Nellore,53808.0,9,Nellore,48005.0,9,Nellore,66192.0,9,Nellore,65146.0,9,Nellore,56488.0,9,Nellore,70050.0,9,Nellore,74213.0,9,Nellore,72562.0,9,Nellore,76676.0,9,Nellore,82045.0,9,Nellore,77173.0,9,Nellore,93447.0,9,Nellore,86008.0,9,Nellore,78353.0,9,Nellore,95496.0,9,Nellore,89227.0,9,Nellore,105007.0,9,Nellore,103917.0,9,Nellore,100148.0,9,Nellore,115764.0,9,Nellore,113125.0,9,Nellore,132601.0,9,Nellore,138118.0,9,Nellore,132343.0,9,Nellore,145419.0,9,Nellore,152758.0,9,Nellore,163011.0,9,Nellore,154140.0,9,Nellore,160990.0,9,Nellore,165231.0
