Dist Name,2007 (2004),2008 (2004),2009 (2004),2010 (2004),2011 (2004),2012 (2004),2013 (2004)
24 Parganas,230861,243827,266007,280267,300583,324090,349551
Adilabad,87304,89156,86013,95219,101457,103439,105610
Agra,108910,120716,128237,136101,147708,157233,167291
Ahmedabad,572530,634325,715963,782003,857318,942290,1045106
Ahmednagar,139122,140185,154709,170385,183638,195924,215659
Ajmer,71015,79308,87730,92984,98260,102179,106546
Akola,38892,37402,41207,44895,45991,47775,50497
Alappuzha,91368,98433,110188,117629,127370,137994,148991
Aligarh,64618,69714,73513,79815,84599,89122,93486
Allahabad,114333,125476,136357,139764,148221,157650,166790
Almorah,14865,16253,18698,20880,22226,24247,26415
Alwar,91295,100835,92119,116272,123125,128510,134137
Amarawati,63609,60335,64457,68690,68481,70645,74707
Ambala,62008,65856,73677,78025,82078,86241,89769
Amreli,54739,54935,58921,62526,66656,69720,74984
Amritsar,80381,84522,94900,95735,102956,107712,113296
Ananthapur,107160,113940,126635,136471,146573,156780,169840
Aurangabad,139189,140183,155925,176262,187668,201177,220483
Azamgarh,55517,58205,60049,69245,73825,80067,86460
Bahraich,30857,33779,31717,34736,38099,41651,44544
Balaghat,23223,25993,27731,31004,34398,38174,42197
Balasore,45415,49876,51721,57294,59598,66072,70284
Ballia,34055,37423,39575,43010,45015,47910,50568
Banaskantha,73091,75511,86274,108520,117480,120408,132453
Banda,20990,22248,22375,24117,24852,25684,26468
Bangalore,831943,941230,943387,1045032,1131929,1243795,1333816
Bankura,81956,85730,97908,105151,111862,122136,130678
Banswara,24085,24681,29398,31875,33803,35421,37139
Barabanki,37212,39797,39436,43904,46363,48542,50608
Bareilly,75521,72374,77105,81516,85734,89533,93024
Barmer,30744,33895,30427,35526,40158,42805,46381
Bastar,25351,25729,26203,27472,27915,29976,31994
Basti,29510,28598,31825,34829,38293,42365,46269
Beed,72991,71961,80112,91719,99074,105293,117259
Belgaum,109600,113880,120811,139708,135695,135810,138852
Bellary,83759,87091,84389,92889,93952,96242,99205
Betul,25588,28618,30767,34140,37754,42115,47163
Bhagalpur,33350,37251,40058,46343,51579,58347,63390
Bhandara,29715,29013,30254,33541,33155,34987,38271
Bharatpur,46321,50378,48174,54977,58117,60983,63981
Bharuch,90458,100527,112803,127421,132783,138468,149328
Bhatinda,65939,70129,69233,76269,83254,88249,112264
Bhavnagar,108768,114969,115034,121812,133357,145809,160700
Bhilwara,71489,78111,89668,92899,96748,99959,102372
Bhind,24160,27348,29424,31112,33829,37242,42552
Bidar,37494,38531,40227,42259,43549,45148,47403
Bijapur / Vijayapura,48056,51307,55887,64279,65543,68025,71893
Bijnor,78527,82373,86802,97856,100450,103330,106916
Bikaner,47982,52605,58194,59080,61701,64829,68464
Bilashpur,17372,16597,18415,19729,22222,23747,25385
Bilaspur,58298,64596,73040,80082,83207,91666,99536
Birbhum,67491,67898,78120,82878,85831,90026,95960
Bolangir,31061,33308,34936,37309,39094,42643,45275
Budaun,42581,46888,53696,59494,63082,66506,69660
Buland Shahar,70039,67516,72639,77622,82293,84966,86925
Buldhana,49944,46575,53751,59735,61816,63905,67882
Bundi,22791,24570,26561,30909,32697,34071,35360
Burdwan,244766,249422,264721,275799,286666,304166,324677
Cachar,36752,40233,43778,47464,49959,53981,56662
Chamba,18642,18838,19527,20661,21439,22904,24428
Chamoli,15809,17902,21008,22948,24802,26767,29337
Chandrapur,69835,67879,70926,76850,76266,79760,86574
Chengalpattu MGR / Kanchipuram,167577,184725,203530,250727,279890,307969,336767
Chennai,710061,787236,865952,1003204,1107068,1188876,1294404
Chhatarpur,20665,22857,24559,26716,29181,31587,34384
Chhindwara,35592,39312,41300,41662,45823,50111,55709
