Name of District,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Nicobar Islands,220,420,464,680,605,553,647,601,669,765,823,657,765,360,302,589,401,602,911,586,883,694,2976,2886,2083,3635,2965,3027,1813,1941,1829
North and Middle Andaman,446,1006,841,975,995,566,1059,1225,1608,1608,1722,1210,2708,1815,1136,2274,1586,1554,2286,2135,2093,1620,5944,8289,6810,12337,14006,11524,7968,7133,8124
South Andaman,1637,2537,2512,3657,3517,2699,3381,2998,3492,3510,4027,3782,4532,4066,3827,4853,4499,5350,5453,4918,5025,5099,7769,7931,7053,8809,9587,9390,7739,8354,8208
Anantapur,27229,53475,47946,72158,74760,77474,93342,102308,99484,99844,112336,96854,115760,109312,101095,126195,117838,139519,138549,134939,151720,132777,167549,171366,163666,180271,189118,200801,195409,203452,211152
Chittoor,47807,70186,60455,88114,83701,79190,97608,106205,96921,102778,103415,102785,118754,101683,96829,120034,116679,131823,133553,132491,153549,142092,153143,158948,146014,167317,176316,196402,193414,196893,209788
East Godavari,37648,44406,43574,66464,51462,56469,59854,64469,65813,67534,79305,72596,85640,77490,74224,85592,83718,98004,89297,91892,99658,94517,106991,126663,112356,129293,144408,151234,139602,143201,151409
Guntur,44604,56540,50912,63006,67967,61457,73380,77004,77180,83099,91962,93414,109207,98504,91232,112769,106639,121550,120356,120088,133919,132420,125363,130796,131059,147633,158056,167068,165488,169022,178363
Krishna,44539,53145,49717,60628,60229,62024,66335,68860,73344,74780,82191,82107,95144,84804,77299,95304,91962,106328,102525,104014,111309,113234,97497,100699,97784,112295,118157,133257,135470,139512,150708
Kurnool,18033,43346,43666,54708,65508,59618,72254,86216,77296,80543,86337,71341,92182,77757,69258,92796,88254,99544,101464,102541,106844,100807,152586,159666,143004,165353,169874,177160,169503,181539,188664
Nellore,34900,53808,48005,66192,65146,56488,70050,74213,72562,76676,82045,77173,93447,86008,78353,95496,89227,105007,103917,100148,115764,113125,132601,138118,132343,145419,152758,163011,154140,160990,165231
Prakasam,23858,44304,43803,46645,59168,42744,62080,64193,64230,69858,82233,59511,90417,80571,74589,97707,87469,99161,100932,95976,104642,112385,156524,161919,146889,169036,177198,186444,181414,192475,193444
Srikakulam,19621,22295,25189,30608,32723,28706,32045,31712,35312,32955,38412,35392,43629,31296,33900,38463,39479,44292,38726,41114,48884,41975,55379,60670,53928,64044,64290,71874,72405,75285,83282
Visakhapatnam,29763,34678,36512,41157,39595,37963,41578,43243,47581,47652,54556,48541,57954,52839,56543,62152,63538,82142,71347,72438,86590,83469,100461,122502,109754,139604,145892,145707,126685,136675,143830
Vizianagaram,16790,19432,20435,22845,24957,21910,24956,25584,27949,25114,28078,28330,31250,26373,26478,30704,28820,38819,30557,32816,39602,35338,43952,50525,43448,57570,59176,59892,52842,56884,62922
West Godavari,27475,35409,35103,47478,43697,46445,45269,50393,52885,52337,62433,63721,70902,63752,58717,70621,69459,80494,73149,77441,84223,79351,72369,79196,73064,85482,92530,105471,101702,107322,118143
Y.S.R.,20044,42795,32551,44420,40506,42964,54696,61641,57169,67275,66203,56101,81436,71686,70972,81695,85730,94522,98881,93157,98937,90811,128567,128555,119439,139708,142590,155631,147041,163384,159201
Anjaw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,690,1233,852,1842,1211,2240,2016,1869,2212
Anjaw,0,0,0,0,0,0,0,0,61,0,0,0,56,21,0,0,0,0,12,0,0,0,3045,4011,1836,5555,8818,2842,1778,4318,3234
Changlang,3161,2916,1487,1528,2407,2037,3411,3438,2522,2406,2367,2438,3451,2858,2592,3359,2511,3315,4245,4938,4100,4566,13490,13813,10830,17119,15098,18040,15889,17798,18559
Dibang Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,2522,2371,2820,20188,29976,5078,1001,2938,4616
East Kameng,0,0,0,0,44,4,0,100,55,0,36,0,0,12,4,29,55,63,114,122,120,109,5620,6745,4465,8706,7172,7610,4280,6583,7258
East Siang,0,16,28,60,82,70,88,70,42,42,99,49,130,65,105,142,305,208,242,343,236,274,6532,5849,4515,6569,7122,7600,4550,7320,6975
East Siang,0,0,36,40,73,90,140,311,95,72,198,81,163,144,69,198,159,90,163,84,152,157,4159,5604,4362,8035,7771,7716,5370,4935,5752
Kurung Kumey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2328,3098,2321,13311,20143,4578,2149,2079,3059
Lohit,134,67,0,24,111,126,145,194,226,314,219,560,358,218,233,363,339,359,334,555,466,644,7072,7915,3880,9927,9924,9981,8500,9734,11928
Lohit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335,0,0,0,0
Longding,0,4,34,44,114,0,0,0,0,0,0,0,0,0,0,0,3,0,0,16,0,0,2060,3446,1464,5083,4521,5424,2294,3494,4117
Lower Dibang Valley,0,0,0,0,0,22,0,70,58,65,86,251,182,81,68,77,99,152,127,115,25,90,3196,3872,3408,6292,4649,4702,3374,4795,5145
Lower Dibang Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,835,389,270,1498,3647,1204,574,1295,2564
Lower Subansiri,36,16,103,204,310,255,322,662,358,206,96,144,553,735,751,854,705,807,1063,878,960,691,8937,10626,8316,14336,13661,12902,8569,9536,12395
Namsai,760,601,451,468,716,573,792,607,936,974,619,740,913,1009,826,911,646,458,676,536,979,1027,3480,3667,3077,4250,4201,4869,5161,5728,5955
