District,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Nicobar Islands,62405.25723629972,73480.91549945474,83526.8230867882,78485.30712772883,112052.99520649464,81984.18122179553,80931.20096828385,100793.67687406823,79720.128740965,84223.92669402593,93890.18633671438,80449.9875533638,84223.92669402593,69676.13928996051,85252.27218530198,88597.56161121542,77371.27904077344,100797.45120564342,87566.99691103988,88040.92061648988,84020.14162408252,78649.58775757137,139728.22185463723,129222.16648239088,105546.45580956277,169166.06783521757,221189.3072629854,144741.72415998817,102585.37123359421,103914.03552158106,102845.66340638236
North and Middle Andaman,93967.11321608636,89038.09882038865,84233.73589009538,83669.28016097166,91353.49889233227,129767.47812861264,91709.8074932955,91876.52741569909,101095.5888205177,101095.5888205177,101700.70834068993,91699.18027180835,124584.39356011641,102370.97438138427,91463.51224539262,118338.22164776549,98345.9096008186,98467.6523936134,119540.59413983575,105873.4449934663,105435.75143950694,106842.90249556354,205147.7517979895,248125.75833248036,194242.75149222882,237433.8553575925,370282.57322676975,229927.9959086598,223844.42249420495,251846.3097275803,224456.03212136342
South Andaman,101886.66121992531,122928.42871610052,109369.81279808459,145997.28289955566,145212.22957724988,123958.83178132698,139021.50236805415,140324.26208075386,145702.2355239213,145537.41147844584,153635.60547513224,303994.91780999687,155178.35840941683,153134.34398407603,153194.0074999746,161208.6830002356,159812.3063042808,204907.97080462173,205264.13105675383,165265.55359906066,162813.55422941435,205686.6095291042,199833.4928721837,224606.63921499418,232348.3511721151,231458.83315968307,233357.75752379082,231343.78345746594,204486.54145715045,225047.4304268534,230664.05760239146
Anantapur,411534.51117515593,685548.978515525,598320.4406182208,917101.3030132327,1066693.7838445725,984367.9080005694,1030227.3481118595,1091375.8672285175,1051653.6613783448,1053286.3215308844,1160878.0674192358,1051636.6369707894,1146877.948325537,1144777.7060556822,1091089.7887415194,1304432.5713572784,1187273.4145070063,1542796.4984102284,1618031.971260541,1612257.7606674982,1963856.7799095332,1702610.9143313195,2982438.616884532,3053054.2000247384,1703605.907525719,2598626.938917009,2589679.0556404297,2969329.410263647,2761054.129504198,3698016.9308611588,3081355.7012018617
Chittoor,581630.19122454,832249.380713025,980826.7224153564,1170116.9135416353,990961.5254878324,1051904.663120152,1063783.8599287185,1130296.4404683022,1051889.5171863267,1121889.4755444205,1135065.9239820365,1122009.4491987803,1157941.1508474187,1086206.3939638464,1051250.5756286413,1183563.1469337114,1142673.8019338266,1299615.702867291,1396034.0949643843,1375276.9027358105,1581061.5294757432,1380350.927120778,1579529.150856219,1509200.2690952115,1379500.4249759042,2981562.9719590894,2950164.019362778,2701686.882980577,2753524.3380117086,2681673.1686728806,3064464.7195999795
East Godavari,543283.6500632741,576009.6649327416,565247.7490429076,901353.4329294901,635156.9656498594,688313.6305513391,911230.1853214795,934045.2757942802,809620.757540635,899415.1324969431,1234280.4095535488,895951.5717276068,1057553.346174793,973753.2150537284,904832.8711888437,1057372.1782591844,993271.5071986847,1064835.00412138,944499.15913295,1028825.2834616773,1050763.190426924,1035648.8001176608,1139676.6271037115,1255108.028086747,1160953.5540507396,1285387.0738892732,1359755.4028488765,1893469.1218012935,1543109.7679309684,1375751.1011850985,1894129.6298269506
Guntur,574964.8025483872,700793.6363053754,619255.395965468,813001.9457278781,926844.3331977855,845548.473366857,918050.4338170459,974157.6693729829,967731.3334464921,964140.7034802465,1032940.3736309154,1030499.0999852726,1143211.8434235237,1076796.3392112267,1035987.9269053313,1163415.211567629,1152622.112008269,1222713.8364362775,1261077.2590219027,1299857.100733824,1507366.75602692,1485123.948491939,1187935.7456893583,1290945.3475801062,1291937.9967843795,1686562.153480637,1514234.8764412596,2976963.17450798,1842315.9099304695,3032211.0659236214,2639559.7342715603
Krishna,576951.4773285371,627730.9048324256,625971.2547372299,898855.6036651428,806780.5043429708,826598.3696768354,807205.4221647958,939527.0645503815,919475.6563618208,953363.9018731993,1012956.5008204767,1094353.5829613172,1041876.992612511,1162398.9734692585,979933.7203468835,1042480.8856645403,1032940.3736309154,1137756.6518763884,1150475.5835580495,1131844.4525028358,1164903.3586878197,1196132.1318492189,1061584.8074895404,1064808.3245420472,1064004.6511748396,1160723.3198246534,1154521.9434442716,1392522.474309251,1563510.3149223754,1542770.0780892018,1891483.8233927472
Kurnool,305617.41220081766,562847.7297688371,562835.5627778125,660285.61163843,1622654.3396434926,761525.4834294574,876679.76059609,940116.0147146719,975074.0080234542,1032493.4017517265,945740.9327678764,977914.1174876849,1025102.3540525311,968691.9405293682,945709.3747066204,1027991.8271526255,1207376.8472902032,1050332.916627353,1087517.1193735728,1139377.5442485928,1145314.7677125868,1065215.952352167,1967125.3510536414,1522210.2430180449,1376440.1567536762,1841806.3751678194,3047422.8973145653,2654333.4450532827,3046022.6203001724,2579696.3235765635,2587965.5091052963
Nellore,539659.6771391098,685249.5920530766,595337.891943886,780067.3276241742,753769.2253888091,688385.3428512675,834440.6703987798,904791.3535415168,897461.3155651615,947738.4413030812,1226338.9063700847,965741.8740778466,1031158.9009550313,1007836.3449974088,941792.1699486176,1037072.622088424,956670.4359226873,1125673.4480816328,1131012.4187844873,1051110.695610951,1143500.157889977,1147746.4161482432,1416834.565739658,1433030.3832063081,1415220.641998034,1365585.4545405223,1578076.0331997739,1701133.7203439742,1583292.1594366764,1681698.3028971963,1841345.906715647
