District,1992_GDDP_Predicted,1993_GDDP_Predicted,1994_GDDP_Predicted,1995_GDDP_Predicted,1996_GDDP_Predicted,1997_GDDP_Predicted,1998_GDDP_Predicted,1999_GDDP_Predicted,2000_GDDP_Predicted,2001_GDDP_Predicted,2002_GDDP_Predicted,2003_GDDP_Predicted,2004_GDDP_Predicted,2005_GDDP_Predicted,2006_GDDP_Predicted,2007_GDDP_Predicted,2008_GDDP_Predicted,2009_GDDP_Predicted,2010_GDDP_Predicted,2011_GDDP_Predicted,2012_GDDP_Predicted,2013_GDDP_Predicted,2014_GDDP_Predicted,2015_GDDP_Predicted,2016_GDDP_Predicted,2017_GDDP_Predicted,2018_GDDP_Predicted,2019_GDDP_Predicted,2020_GDDP_Predicted,2021_GDDP_Predicted,2022_GDDP_Predicted
Adilabad,453917.34768034617,575847.0456870422,557032.2955830402,595188.5401727818,641508.2045567842,567609.2008423703,882798.850977985,752415.3623981061,885721.8435315539,805726.7962868309,884819.5967879831,881205.6101966847,926095.2569868355,906813.949993926,824831.5270238817,1284291.239407956,936898.6795999514,962485.9919130796,973445.6824819329,962485.9919130796,1019377.464924277,1088230.7558037648,1217445.4455528853,1784344.8689530324,1320441.6905528854,1586075.6194468746,2592046.7138715596,2923523.2631964707,2592046.7138715596,2923523.2631964707,4338874.509294946
Perambalur,105783.49409003084,213401.86512803702,304204.9027872174,241654.61288758856,241654.61288758856,241654.61288758856,241654.61288758856,241654.61288758856,241654.61288758856,241654.61288758856,403741.98297757463,329191.9243035931,374574.98399223364,241654.61288758856,241654.61288758856,374574.98399223364,403741.98297757463,339492.6966680354,339492.6966680354,323933.4020422347,323933.4020422347,323933.4020422347,339492.6966680354,349081.87015022634,339492.6966680354,349081.87015022634,349081.87015022634,368006.2478726287,368006.2478726287,414420.19472445734,403463.41739346687
Uttarkashi,116624.63098930554,40643.74304635062,39303.80468026484,64778.348599312056,64778.348599312056,64778.348599312056,64778.348599312056,84207.14707555683,84207.14707555683,91372.68775484338,84207.14707555683,84207.14707555683,145906.93815578273,145906.93815578273,138413.65911742812,166178.91669325964,219108.66102344904,145906.93815578273,158142.77977658552,166178.91669325964,145906.93815578273,145906.93815578273,403463.41739346687,403463.41739346687,423311.73851660016,906813.949993926,881205.6101966847,840873.155357215,403463.41739346687,376554.85293565236,557032.2955830402
Ri Bhoi,71523.38804808594,91372.68775484338,105783.49409003084,158142.77977658552,105783.49409003084,91372.68775484338,131261.79494679812,166178.91669325964,145906.93815578273,131261.79494679812,145906.93815578273,105783.49409003084,158142.77977658552,158142.77977658552,166178.91669325964,219108.66102344904,166178.91669325964,219108.66102344904,439986.4724469204,219108.66102344904,288442.7184709439,304204.9027872174,368006.2478726287,376554.85293565236,367193.56684797263,376554.85293565236,403463.41739346687,420187.16814314673,376554.85293565236,368006.2478726287,403463.41739346687
Begusarai,166178.91669325964,219108.66102344904,219108.66102344904,219108.66102344904,304204.9027872174,219108.66102344904,393547.2981825064,304204.9027872174,241654.61288758856,241654.61288758856,241654.61288758856,241654.61288758856,241654.61288758856,241654.61288758856,241654.61288758856,241654.61288758856,241654.61288758856,241654.61288758856,241654.61288758856,241654.61288758856,241654.61288758856,374574.98399223364,403463.41739346687,405773.7453101894,453917.34768034617,572596.051406564,539084.2905274781,575847.0456870422,623394.1083949166,623394.1083949166,623394.1083949166
Nellore,557032.2955830402,641508.2045567842,595188.5401727818,881205.6101966847,938583.3652837642,637020.4449788313,885678.8748888618,869554.8065328378,805726.7962868309,926095.2569868355,1088241.473034902,959090.0326358714,973445.6824819329,939999.1544640926,959090.0326358714,962485.9919130796,935569.0059286448,1019377.464924277,1088230.7558037648,936898.6795999514,998101.9872675121,1019377.464924277,1281949.6143211215,1265920.8546345101,1281949.6143211215,1217445.4455528853,1427803.8885254925,1586075.6194468746,1427803.8885254925,1586075.6194468746,1586075.6194468746
Srikakulam,349081.87015022634,368006.2478726287,420187.16814314673,453917.34768034617,627153.9121048021,403463.41739346687,453917.34768034617,453917.34768034617,557032.2955830402,557032.2955830402,539084.2905274781,557032.2955830402,567609.2008423703,453917.34768034617,557032.2955830402,539084.2905274781,539084.2905274781,575847.0456870422,539084.2905274781,560028.3941262603,595188.5401727818,567609.2008423703,641508.2045567842,882798.850977985,641508.2045567842,840873.155357215,840873.155357215,805726.7962868309,805726.7962868309,885721.8435315539,887049.9423136832
Balaghat,219108.66102344904,1453422.3671878902,439986.4724469204,2558205.7824294087,241654.61288758856,241654.61288758856,323933.4020422347,267748.7609663321,323933.4020422347,241654.61288758856,323933.4020422347,241654.61288758856,241654.61288758856,241654.61288758856,241654.61288758856,323933.4020422347,403741.98297757463,241654.61288758856,241654.61288758856,323933.4020422347,376760.9866539024,368006.2478726287,824831.5270238817,824831.5270238817,793041.2326031245,983753.654628519,983753.654628519,983753.654628519,906813.949993926,885721.8435315539,935569.0059286448
Sitapur,439986.4724469204,219108.66102344904,393547.2981825064,241654.61288758856,241654.61288758856,219108.66102344904,241654.61288758856,241654.61288758856,241654.61288758856,241654.61288758856,241654.61288758856,219108.66102344904,393547.2981825064,241654.61288758856,241654.61288758856,368006.2478726287,420187.16814314673,323933.4020422347,339492.6966680354,349081.87015022634,241654.61288758856,241654.61288758856,624388.2158370167,802806.9279257131,855402.06538646,959090.0326358714,894665.2166731625,1284291.239407956,1284291.239407956,973445.6824819329,962485.9919130796
Khammam,414420.19472445734,557032.2955830402,539084.2905274781,623394.1083949166,623394.1083949166,575847.0456870422,575847.0456870422,595188.5401727818,624388.2158370167,802806.9279257131,1038023.6686553545,802806.9279257131,906813.949993926,938583.3652837642,840873.155357215,894665.2166731625,869554.8065328378,935569.0059286448,894665.2166731625,1284291.239407956,962485.9919130796,936898.6795999514,1148924.3753200665,1217445.4455528853,1114397.8592062166,1427803.8885254925,1586075.6194468746,1586075.6194468746,1818700.5689530324,3127113.88387156,2923523.2631964707
