District,Predicted_GDDP_2020
Nicobar Islands,102585.37123359421
North and Middle Andaman,223844.42249420495
South Andaman,204486.54145715045
Anantapur,2761054.129504198
Chittoor,2753524.3380117086
East Godavari,1543109.7679309684
Guntur,1842315.9099304695
Krishna,1563510.3149223754
Kurnool,3046022.6203001724
Nellore,1583292.1594366764
Prakasam,2579224.532129666
Srikakulam,893694.7021705563
Visakhapatnam,1255191.0633814011
Vizianagaram,628440.3704321281
West Godavari,1086278.1062637751
Y.S.R.,1415582.5789805439
Anjaw,107035.68915122189
Anjaw,101998.97737646294
Changlang,286951.539087009
Dibang Valley,89019.22716251272
East Kameng,149315.88935849592
East Siang,159255.4004455459
East Siang,205101.83704626188
Kurung Kumey,106131.21787095237
Lohit,234141.11671222397
Lohit,54337.02783576172
Longding,124134.81457187957
Lower Dibang Valley,138423.13912446893
Lower Dibang Valley,120945.4770258867
Lower Subansiri,230354.90025535595
Namsai,189891.69898509094
Papum Pare,313462.10990463354
Tawang,147894.09545112905
Tirap,205183.90326102055
Upper Siang,133855.44052385495
Upper Subansiri,126796.63075683384
West Kameng,365239.78151335334
West Siang,202911.00309655676
Baksa,371382.36068321514
Barpeta,371314.4227148618
Bongaigaon,341251.3923878823
Cachar,561100.0748825084
Chirang,397041.7121827053
Darrang,316280.2188127711
Dhemaji,306120.4838913256
Dhubri,465460.152277303
Dibrugarh,763572.9542397863
Dima Hasao,318982.71858733933
Goalpara,386399.5293731654
Golaghat,632573.0851326938
Hailakandi,241648.47226213082
Jorhat,412600.41460956255
Kamrup,582203.8252332899
Kamrup Metropolitan,368839.0290545081
Karbi Anglong,783862.6704251933
Karimganj,398172.4371965989
Kokrajhar,485569.7769304849
Lakhimpur,389967.90605785494
Morigaon,301029.425805072
Nagaon,633736.5355915511
Nalbari,251651.9390874873
Sivasagar,570477.3905918482
Sonitpur,680233.6192910635
Tinsukia,890755.2701599445
Udalguri,371254.91520149
Araria,622977.8687227295
Arwal,295091.9961292741
Aurangabad,902247.8417785447
Banka,650281.0088760882
Begusarai,613057.0618749466
Bhagalpur,834358.4812868253
Bhojpur,722122.018803297
Buxar,541652.2059330667
Darbhanga,637130.6151338447
Gaya,1139047.3819434291
Gopalganj,631342.2377573089
Jamui,603292.1448340652
Jehanabad,437039.09358691185
Kaimur,560310.7033677838
Katihar,619416.3225222507
Khagaria,380276.2592635071
Kishanganj,412912.0407882813
Lakhisarai,386339.14006796246
Madhepura,527644.2615043683
Madhubani,957603.7669284573
Munger,412075.7325159042
Muzaffarpur,1259757.4237561722
Nalanda,836172.2540745647
Nawada,572943.7535504169
Pashchim Champaran,1191103.3506767664
Patna,1139702.4890334783
Purba Champaran,1156993.9414933585
Purnia,820653.4584015766
Rohtas,934777.7882701866
Saharsa,552938.3304716706
Samastipur,760965.1659526079
Saran,949116.8180275266
Sheikhpura,344902.7433410205
Sheohar,351048.69601152214
Sitamarhi,558663.4982097463
Siwan,722103.1471454209
Supaul,585061.3287058034
Vaishali,755407.721009445
Chandigarh,232019.77094566333
Balod,412555.12263066036
Baloda Bazar,840424.8227700568
Balrampur,642681.7681255873
Bastar,583115.8990993227
Bemetara,571606.3539942218
Bijapur,442993.7574547613
